athlete_name,gender,course_a,year_a,time_a,course_b,year_b,time_b,delta_seconds,months_between
Aliphine Ayana #0062,W,london,2016,8116,tokyo,2017,8071,-45,10.12
Aliphine Ayana #0062,W,london,2016,8116,berlin,2017,8271,155,17.02
Aliphine Ayana #0062,W,london,2016,8116,chicago,2017,8295,179,17.48
Aliphine Ayana #0062,W,berlin,2016,8103,chicago,2016,8131,28,0.46
Aliphine Ayana #0062,W,berlin,2016,8103,tokyo,2017,8071,-32,5.06
Aliphine Ayana #0062,W,berlin,2016,8103,chicago,2017,8295,192,12.42
Aliphine Ayana #0062,W,berlin,2016,8103,nyc,2017,8172,69,13.34
Aliphine Ayana #0062,W,berlin,2016,8103,tokyo,2018,8068,-35,17.02
Aliphine Ayana #0062,W,chicago,2016,8131,tokyo,2017,8071,-60,4.6
Aliphine Ayana #0062,W,chicago,2016,8131,berlin,2017,8271,140,11.5
Aliphine Ayana #0062,W,chicago,2016,8131,nyc,2017,8172,41,12.88
Aliphine Ayana #0062,W,chicago,2016,8131,tokyo,2018,8068,-63,16.56
Aliphine Ayana #0062,W,tokyo,2017,8071,berlin,2017,8271,200,6.9
Aliphine Ayana #0062,W,tokyo,2017,8071,chicago,2017,8295,224,7.36
Aliphine Ayana #0062,W,tokyo,2017,8071,nyc,2017,8172,101,8.28
Aliphine Ayana #0062,W,berlin,2017,8271,chicago,2017,8295,24,0.46
Aliphine Ayana #0062,W,berlin,2017,8271,nyc,2017,8172,-99,1.38
Aliphine Ayana #0062,W,berlin,2017,8271,tokyo,2018,8068,-203,5.06
Aliphine Ayana #0062,W,berlin,2017,8271,tokyo,2019,7703,-568,17.25
Aliphine Ayana #0062,W,chicago,2017,8295,nyc,2017,8172,-123,0.92
Aliphine Ayana #0062,W,chicago,2017,8295,tokyo,2018,8068,-227,4.6
Aliphine Ayana #0062,W,chicago,2017,8295,berlin,2018,8229,-66,11.27
Aliphine Ayana #0062,W,chicago,2017,8295,tokyo,2019,7703,-592,16.79
Aliphine Ayana #0062,W,nyc,2017,8172,tokyo,2018,8068,-104,3.68
Aliphine Ayana #0062,W,nyc,2017,8172,berlin,2018,8229,57,10.35
Aliphine Ayana #0062,W,nyc,2017,8172,tokyo,2019,7703,-469,15.87
Aliphine Ayana #0062,W,tokyo,2018,8068,berlin,2018,8229,161,6.67
Aliphine Ayana #0062,W,berlin,2018,8229,tokyo,2019,7703,-526,5.52
Aliphine Ayana #0062,W,berlin,2018,8229,chicago,2019,8190,-39,12.88
Aliphine Ayana #0062,W,berlin,2018,8229,nyc,2019,8095,-134,13.57
Aliphine Ayana #0062,W,tokyo,2019,7703,berlin,2019,8165,462,6.9
Aliphine Ayana #0062,W,tokyo,2019,7703,chicago,2019,8190,487,7.36
Aliphine Ayana #0062,W,tokyo,2019,7703,nyc,2019,8095,392,8.05
Aliphine Ayana #0062,W,berlin,2019,8165,chicago,2019,8190,25,0.46
Aliphine Ayana #0062,W,berlin,2019,8165,nyc,2019,8095,-70,1.15
Aliphine Ayana #0062,W,chicago,2019,8190,nyc,2019,8095,-95,0.69
Aliphine Ayana #0062,W,berlin,2021,8020,london,2021,7991,-29,0.23
Aliphine Ayana #0062,W,berlin,2021,8020,tokyo,2021,8174,154,0.69
Aliphine Ayana #0062,W,berlin,2021,8020,tokyo,2022,7983,-37,5.29
Aliphine Ayana #0062,W,berlin,2021,8020,boston,2022,8196,176,6.7
Aliphine Ayana #0062,W,berlin,2021,8020,london,2022,8138,118,12.19
Aliphine Ayana #0062,W,berlin,2021,8020,nyc,2022,8321,301,13.34
Aliphine Ayana #0062,W,berlin,2021,8020,tokyo,2023,8070,50,17.25
Aliphine Ayana #0062,W,london,2021,7991,tokyo,2021,8174,183,0.46
Aliphine Ayana #0062,W,london,2021,7991,tokyo,2022,7983,-8,5.06
Aliphine Ayana #0062,W,london,2021,7991,boston,2022,8196,205,6.47
Aliphine Ayana #0062,W,london,2021,7991,berlin,2022,8253,262,11.73
Aliphine Ayana #0062,W,london,2021,7991,nyc,2022,8321,330,13.11
Aliphine Ayana #0062,W,london,2021,7991,tokyo,2023,8070,79,17.02
Aliphine Ayana #0062,W,tokyo,2021,8174,boston,2022,8196,22,6.01
Aliphine Ayana #0062,W,tokyo,2021,8174,berlin,2022,8253,79,11.27
Aliphine Ayana #0062,W,tokyo,2021,8174,london,2022,8138,-36,11.5
Aliphine Ayana #0062,W,tokyo,2021,8174,nyc,2022,8321,147,12.65
Aliphine Ayana #0062,W,tokyo,2021,8174,boston,2023,8404,230,17.97
Aliphine Ayana #0062,W,tokyo,2022,7983,boston,2022,8196,213,1.41
Aliphine Ayana #0062,W,tokyo,2022,7983,berlin,2022,8253,270,6.67
Aliphine Ayana #0062,W,tokyo,2022,7983,london,2022,8138,155,6.9
Aliphine Ayana #0062,W,tokyo,2022,7983,nyc,2022,8321,338,8.05
Aliphine Ayana #0062,W,tokyo,2022,7983,boston,2023,8404,421,13.37
Aliphine Ayana #0062,W,boston,2022,8196,berlin,2022,8253,57,5.26
Aliphine Ayana #0062,W,boston,2022,8196,london,2022,8138,-58,5.49
Aliphine Ayana #0062,W,boston,2022,8196,nyc,2022,8321,125,6.64
Aliphine Ayana #0062,W,boston,2022,8196,tokyo,2023,8070,-126,10.55
Aliphine Ayana #0062,W,boston,2022,8196,chicago,2023,8120,-76,17.67
Aliphine Ayana #0062,W,berlin,2022,8253,london,2022,8138,-115,0.23
Aliphine Ayana #0062,W,berlin,2022,8253,nyc,2022,8321,68,1.38
Aliphine Ayana #0062,W,berlin,2022,8253,tokyo,2023,8070,-183,5.29
Aliphine Ayana #0062,W,berlin,2022,8253,boston,2023,8404,151,6.7
Aliphine Ayana #0062,W,berlin,2022,8253,chicago,2023,8120,-133,12.42
Aliphine Ayana #0062,W,london,2022,8138,nyc,2022,8321,183,1.15
Aliphine Ayana #0062,W,london,2022,8138,tokyo,2023,8070,-68,5.06
Aliphine Ayana #0062,W,london,2022,8138,boston,2023,8404,266,6.47
Aliphine Ayana #0062,W,london,2022,8138,chicago,2023,8120,-18,12.19
Aliphine Ayana #0062,W,nyc,2022,8321,tokyo,2023,8070,-251,3.91
Aliphine Ayana #0062,W,nyc,2022,8321,boston,2023,8404,83,5.32
Aliphine Ayana #0062,W,nyc,2022,8321,chicago,2023,8120,-201,11.04
Aliphine Ayana #0062,W,nyc,2022,8321,boston,2024,8080,-241,17.28
Aliphine Ayana #0062,W,tokyo,2023,8070,boston,2023,8404,334,1.41
Aliphine Ayana #0062,W,tokyo,2023,8070,chicago,2023,8120,50,7.13
Aliphine Ayana #0062,W,tokyo,2023,8070,boston,2024,8080,10,13.37
Aliphine Ayana #0062,W,boston,2023,8404,chicago,2023,8120,-284,5.72
Aliphine Ayana #0062,W,boston,2023,8404,berlin,2024,8122,-282,17.44
Aliphine Ayana #0062,W,chicago,2023,8120,boston,2024,8080,-40,6.24
Aliphine Ayana #0062,W,chicago,2023,8120,berlin,2024,8122,2,11.73
Aliphine Ayana #0062,W,chicago,2023,8120,nyc,2024,8167,47,12.88
Aliphine Ayana #0062,W,boston,2024,8080,berlin,2024,8122,42,5.49
Aliphine Ayana #0062,W,boston,2024,8080,nyc,2024,8167,87,6.64
Aliphine Ayana #0062,W,berlin,2024,8122,nyc,2024,8167,45,1.15
Aliphine DAmato #0327,W,tokyo,2015,8038,boston,2015,8148,110,1.87
Aliphine DAmato #0327,W,tokyo,2015,8038,london,2015,7995,-43,2.07
Aliphine DAmato #0327,W,tokyo,2015,8038,berlin,2015,8187,149,7.13
Aliphine DAmato #0327,W,tokyo,2015,8038,chicago,2015,8083,45,7.59
Aliphine DAmato #0327,W,tokyo,2015,8038,nyc,2015,8087,49,8.28
Aliphine DAmato #0327,W,tokyo,2015,8038,london,2016,7968,-70,14.03
Aliphine DAmato #0327,W,boston,2015,8148,london,2015,7995,-153,0.2
Aliphine DAmato #0327,W,boston,2015,8148,berlin,2015,8187,39,5.26
Aliphine DAmato #0327,W,boston,2015,8148,chicago,2015,8083,-65,5.72
Aliphine DAmato #0327,W,boston,2015,8148,nyc,2015,8087,-61,6.41
Aliphine DAmato #0327,W,boston,2015,8148,tokyo,2016,8106,-42,10.32
Aliphine DAmato #0327,W,boston,2015,8148,london,2016,7968,-180,12.16
Aliphine DAmato #0327,W,boston,2015,8148,chicago,2016,7975,-173,17.67
Aliphine DAmato #0327,W,london,2015,7995,berlin,2015,8187,192,5.06
Aliphine DAmato #0327,W,london,2015,7995,chicago,2015,8083,88,5.52
Aliphine DAmato #0327,W,london,2015,7995,nyc,2015,8087,92,6.21
Aliphine DAmato #0327,W,london,2015,7995,tokyo,2016,8106,111,10.12
Aliphine DAmato #0327,W,london,2015,7995,chicago,2016,7975,-20,17.48
Aliphine DAmato #0327,W,berlin,2015,8187,chicago,2015,8083,-104,0.46
Aliphine DAmato #0327,W,berlin,2015,8187,nyc,2015,8087,-100,1.15
Aliphine DAmato #0327,W,berlin,2015,8187,tokyo,2016,8106,-81,5.06
Aliphine DAmato #0327,W,berlin,2015,8187,london,2016,7968,-219,6.9
Aliphine DAmato #0327,W,berlin,2015,8187,chicago,2016,7975,-212,12.42
Aliphine DAmato #0327,W,berlin,2015,8187,nyc,2016,8096,-91,13.34
Aliphine DAmato #0327,W,berlin,2015,8187,tokyo,2017,8049,-138,17.02
Aliphine DAmato #0327,W,chicago,2015,8083,nyc,2015,8087,4,0.69
Aliphine DAmato #0327,W,chicago,2015,8083,tokyo,2016,8106,23,4.6
Aliphine DAmato #0327,W,chicago,2015,8083,london,2016,7968,-115,6.44
Aliphine DAmato #0327,W,chicago,2015,8083,nyc,2016,8096,13,12.88
Aliphine DAmato #0327,W,chicago,2015,8083,tokyo,2017,8049,-34,16.56
Aliphine DAmato #0327,W,nyc,2015,8087,tokyo,2016,8106,19,3.91
Aliphine DAmato #0327,W,nyc,2015,8087,london,2016,7968,-119,5.75
Aliphine DAmato #0327,W,nyc,2015,8087,chicago,2016,7975,-112,11.27
Aliphine DAmato #0327,W,nyc,2015,8087,tokyo,2017,8049,-38,15.87
Aliphine DAmato #0327,W,nyc,2015,8087,boston,2017,8582,495,17.51
Aliphine DAmato #0327,W,nyc,2015,8087,london,2017,8126,39,17.71
Aliphine DAmato #0327,W,tokyo,2016,8106,london,2016,7968,-138,1.84
Aliphine DAmato #0327,W,tokyo,2016,8106,chicago,2016,7975,-131,7.36
Aliphine DAmato #0327,W,tokyo,2016,8106,nyc,2016,8096,-10,8.28
Aliphine DAmato #0327,W,tokyo,2016,8106,boston,2017,8582,476,13.6
Aliphine DAmato #0327,W,tokyo,2016,8106,london,2017,8126,20,13.8
Aliphine DAmato #0327,W,london,2016,7968,chicago,2016,7975,7,5.52
Aliphine DAmato #0327,W,london,2016,7968,nyc,2016,8096,128,6.44
Aliphine DAmato #0327,W,london,2016,7968,tokyo,2017,8049,81,10.12
Aliphine DAmato #0327,W,london,2016,7968,boston,2017,8582,614,11.76
Aliphine DAmato #0327,W,london,2016,7968,berlin,2017,8150,182,17.02
Aliphine DAmato #0327,W,london,2016,7968,chicago,2017,8182,214,17.48
Aliphine DAmato #0327,W,chicago,2016,7975,nyc,2016,8096,121,0.92
Aliphine DAmato #0327,W,chicago,2016,7975,tokyo,2017,8049,74,4.6
Aliphine DAmato #0327,W,chicago,2016,7975,boston,2017,8582,607,6.24
Aliphine DAmato #0327,W,chicago,2016,7975,london,2017,8126,151,6.44
Aliphine DAmato #0327,W,chicago,2016,7975,berlin,2017,8150,175,11.5
Aliphine DAmato #0327,W,chicago,2016,7975,tokyo,2018,8094,119,16.56
Aliphine DAmato #0327,W,nyc,2016,8096,tokyo,2017,8049,-47,3.68
Aliphine DAmato #0327,W,nyc,2016,8096,boston,2017,8582,486,5.32
Aliphine DAmato #0327,W,nyc,2016,8096,london,2017,8126,30,5.52
Aliphine DAmato #0327,W,nyc,2016,8096,berlin,2017,8150,54,10.58
Aliphine DAmato #0327,W,nyc,2016,8096,chicago,2017,8182,86,11.04
Aliphine DAmato #0327,W,nyc,2016,8096,tokyo,2018,8094,-2,15.64
Aliphine DAmato #0327,W,nyc,2016,8096,boston,2018,8158,62,17.28
Aliphine DAmato #0327,W,nyc,2016,8096,london,2018,8533,437,17.48
Aliphine DAmato #0327,W,tokyo,2017,8049,boston,2017,8582,533,1.64
Aliphine DAmato #0327,W,tokyo,2017,8049,london,2017,8126,77,1.84
Aliphine DAmato #0327,W,tokyo,2017,8049,berlin,2017,8150,101,6.9
Aliphine DAmato #0327,W,tokyo,2017,8049,chicago,2017,8182,133,7.36
Aliphine DAmato #0327,W,tokyo,2017,8049,boston,2018,8158,109,13.6
Aliphine DAmato #0327,W,tokyo,2017,8049,london,2018,8533,484,13.8
Aliphine DAmato #0327,W,boston,2017,8582,london,2017,8126,-456,0.2
Aliphine DAmato #0327,W,boston,2017,8582,berlin,2017,8150,-432,5.26
Aliphine DAmato #0327,W,boston,2017,8582,chicago,2017,8182,-400,5.72
Aliphine DAmato #0327,W,boston,2017,8582,tokyo,2018,8094,-488,10.32
Aliphine DAmato #0327,W,boston,2017,8582,london,2018,8533,-49,12.16
Aliphine DAmato #0327,W,boston,2017,8582,berlin,2018,8223,-359,16.98
Aliphine DAmato #0327,W,boston,2017,8582,chicago,2018,8074,-508,17.67
Aliphine DAmato #0327,W,london,2017,8126,berlin,2017,8150,24,5.06
Aliphine DAmato #0327,W,london,2017,8126,chicago,2017,8182,56,5.52
Aliphine DAmato #0327,W,london,2017,8126,tokyo,2018,8094,-32,10.12
Aliphine DAmato #0327,W,london,2017,8126,boston,2018,8158,32,11.76
Aliphine DAmato #0327,W,london,2017,8126,berlin,2018,8223,97,16.79
Aliphine DAmato #0327,W,london,2017,8126,chicago,2018,8074,-52,17.48
Aliphine DAmato #0327,W,berlin,2017,8150,chicago,2017,8182,32,0.46
Aliphine DAmato #0327,W,berlin,2017,8150,tokyo,2018,8094,-56,5.06
Aliphine DAmato #0327,W,berlin,2017,8150,boston,2018,8158,8,6.7
Aliphine DAmato #0327,W,berlin,2017,8150,london,2018,8533,383,6.9
Aliphine DAmato #0327,W,berlin,2017,8150,chicago,2018,8074,-76,12.42
Aliphine DAmato #0327,W,berlin,2017,8150,tokyo,2019,8027,-123,17.25
Aliphine DAmato #0327,W,chicago,2017,8182,tokyo,2018,8094,-88,4.6
Aliphine DAmato #0327,W,chicago,2017,8182,boston,2018,8158,-24,6.24
Aliphine DAmato #0327,W,chicago,2017,8182,london,2018,8533,351,6.44
Aliphine DAmato #0327,W,chicago,2017,8182,berlin,2018,8223,41,11.27
Aliphine DAmato #0327,W,chicago,2017,8182,tokyo,2019,8027,-155,16.79
Aliphine DAmato #0327,W,tokyo,2018,8094,boston,2018,8158,64,1.64
Aliphine DAmato #0327,W,tokyo,2018,8094,london,2018,8533,439,1.84
Aliphine DAmato #0327,W,tokyo,2018,8094,berlin,2018,8223,129,6.67
Aliphine DAmato #0327,W,tokyo,2018,8094,chicago,2018,8074,-20,7.36
Aliphine DAmato #0327,W,boston,2018,8158,london,2018,8533,375,0.2
Aliphine DAmato #0327,W,boston,2018,8158,berlin,2018,8223,65,5.03
Aliphine DAmato #0327,W,boston,2018,8158,chicago,2018,8074,-84,5.72
Aliphine DAmato #0327,W,boston,2018,8158,tokyo,2019,8027,-131,10.55
Aliphine DAmato #0327,W,boston,2018,8158,chicago,2019,8195,37,17.9
Aliphine DAmato #0327,W,london,2018,8533,berlin,2018,8223,-310,4.83
Aliphine DAmato #0327,W,london,2018,8533,chicago,2018,8074,-459,5.52
Aliphine DAmato #0327,W,london,2018,8533,tokyo,2019,8027,-506,10.35
Aliphine DAmato #0327,W,london,2018,8533,chicago,2019,8195,-338,17.71
Aliphine DAmato #0327,W,berlin,2018,8223,chicago,2018,8074,-149,0.69
Aliphine DAmato #0327,W,berlin,2018,8223,tokyo,2019,8027,-196,5.52
Aliphine DAmato #0327,W,berlin,2018,8223,chicago,2019,8195,-28,12.88
Aliphine DAmato #0327,W,chicago,2018,8074,tokyo,2019,8027,-47,4.83
Aliphine DAmato #0327,W,tokyo,2019,8027,chicago,2019,8195,168,7.36
Aliphine DAmato #0327,W,berlin,2021,8039,london,2021,7988,-51,0.23
Aliphine DAmato #0327,W,berlin,2021,8039,chicago,2021,8062,23,0.46
Aliphine DAmato #0327,W,berlin,2021,8039,boston,2021,8142,103,0.49
Aliphine DAmato #0327,W,berlin,2021,8039,tokyo,2021,8105,66,0.69
Aliphine DAmato #0327,W,berlin,2021,8039,nyc,2021,8272,233,1.38
Aliphine DAmato #0327,W,berlin,2021,8039,tokyo,2022,7970,-69,5.29
Aliphine DAmato #0327,W,berlin,2021,8039,boston,2022,8247,208,6.7
Aliphine DAmato #0327,W,berlin,2021,8039,london,2022,8086,47,12.19
Aliphine DAmato #0327,W,berlin,2021,8039,tokyo,2023,7842,-197,17.25
Aliphine DAmato #0327,W,london,2021,7988,chicago,2021,8062,74,0.23
Aliphine DAmato #0327,W,london,2021,7988,boston,2021,8142,154,0.26
Aliphine DAmato #0327,W,london,2021,7988,tokyo,2021,8105,117,0.46
Aliphine DAmato #0327,W,london,2021,7988,nyc,2021,8272,284,1.15
Aliphine DAmato #0327,W,london,2021,7988,tokyo,2022,7970,-18,5.06
Aliphine DAmato #0327,W,london,2021,7988,boston,2022,8247,259,6.47
Aliphine DAmato #0327,W,london,2021,7988,berlin,2022,8372,384,11.73
Aliphine DAmato #0327,W,london,2021,7988,tokyo,2023,7842,-146,17.02
Aliphine DAmato #0327,W,chicago,2021,8062,boston,2021,8142,80,0.03
Aliphine DAmato #0327,W,chicago,2021,8062,tokyo,2021,8105,43,0.23
Aliphine DAmato #0327,W,chicago,2021,8062,nyc,2021,8272,210,0.92
Aliphine DAmato #0327,W,chicago,2021,8062,tokyo,2022,7970,-92,4.83
Aliphine DAmato #0327,W,chicago,2021,8062,boston,2022,8247,185,6.24
Aliphine DAmato #0327,W,chicago,2021,8062,berlin,2022,8372,310,11.5
Aliphine DAmato #0327,W,chicago,2021,8062,london,2022,8086,24,11.73
Aliphine DAmato #0327,W,chicago,2021,8062,tokyo,2023,7842,-220,16.79
Aliphine DAmato #0327,W,boston,2021,8142,tokyo,2021,8105,-37,0.2
Aliphine DAmato #0327,W,boston,2021,8142,nyc,2021,8272,130,0.89
Aliphine DAmato #0327,W,boston,2021,8142,tokyo,2022,7970,-172,4.8
Aliphine DAmato #0327,W,boston,2021,8142,berlin,2022,8372,230,11.47
Aliphine DAmato #0327,W,boston,2021,8142,london,2022,8086,-56,11.7
Aliphine DAmato #0327,W,boston,2021,8142,tokyo,2023,7842,-300,16.75
Aliphine DAmato #0327,W,tokyo,2021,8105,nyc,2021,8272,167,0.69
Aliphine DAmato #0327,W,tokyo,2021,8105,boston,2022,8247,142,6.01
Aliphine DAmato #0327,W,tokyo,2021,8105,berlin,2022,8372,267,11.27
Aliphine DAmato #0327,W,tokyo,2021,8105,london,2022,8086,-19,11.5
Aliphine DAmato #0327,W,tokyo,2021,8105,boston,2023,8302,197,17.97
Aliphine DAmato #0327,W,nyc,2021,8272,tokyo,2022,7970,-302,3.91
Aliphine DAmato #0327,W,nyc,2021,8272,boston,2022,8247,-25,5.32
Aliphine DAmato #0327,W,nyc,2021,8272,berlin,2022,8372,100,10.58
Aliphine DAmato #0327,W,nyc,2021,8272,london,2022,8086,-186,10.81
Aliphine DAmato #0327,W,nyc,2021,8272,tokyo,2023,7842,-430,15.87
Aliphine DAmato #0327,W,nyc,2021,8272,boston,2023,8302,30,17.28
Aliphine DAmato #0327,W,nyc,2021,8272,london,2023,7964,-308,17.48
Aliphine DAmato #0327,W,tokyo,2022,7970,boston,2022,8247,277,1.41
Aliphine DAmato #0327,W,tokyo,2022,7970,berlin,2022,8372,402,6.67
Aliphine DAmato #0327,W,tokyo,2022,7970,london,2022,8086,116,6.9
Aliphine DAmato #0327,W,tokyo,2022,7970,boston,2023,8302,332,13.37
Aliphine DAmato #0327,W,tokyo,2022,7970,london,2023,7964,-6,13.57
Aliphine DAmato #0327,W,boston,2022,8247,berlin,2022,8372,125,5.26
Aliphine DAmato #0327,W,boston,2022,8247,london,2022,8086,-161,5.49
Aliphine DAmato #0327,W,boston,2022,8247,tokyo,2023,7842,-405,10.55
Aliphine DAmato #0327,W,boston,2022,8247,london,2023,7964,-283,12.16
Aliphine DAmato #0327,W,boston,2022,8247,berlin,2023,8011,-236,17.21
Aliphine DAmato #0327,W,boston,2022,8247,chicago,2023,8005,-242,17.67
Aliphine DAmato #0327,W,berlin,2022,8372,london,2022,8086,-286,0.23
Aliphine DAmato #0327,W,berlin,2022,8372,tokyo,2023,7842,-530,5.29
Aliphine DAmato #0327,W,berlin,2022,8372,boston,2023,8302,-70,6.7
Aliphine DAmato #0327,W,berlin,2022,8372,london,2023,7964,-408,6.9
Aliphine DAmato #0327,W,berlin,2022,8372,chicago,2023,8005,-367,12.42
Aliphine DAmato #0327,W,berlin,2022,8372,nyc,2023,8194,-178,13.34
Aliphine DAmato #0327,W,berlin,2022,8372,tokyo,2024,8004,-368,17.25
Aliphine DAmato #0327,W,london,2022,8086,tokyo,2023,7842,-244,5.06
Aliphine DAmato #0327,W,london,2022,8086,boston,2023,8302,216,6.47
Aliphine DAmato #0327,W,london,2022,8086,berlin,2023,8011,-75,11.73
Aliphine DAmato #0327,W,london,2022,8086,chicago,2023,8005,-81,12.19
Aliphine DAmato #0327,W,london,2022,8086,nyc,2023,8194,108,13.11
Aliphine DAmato #0327,W,london,2022,8086,tokyo,2024,8004,-82,17.02
Aliphine DAmato #0327,W,tokyo,2023,7842,boston,2023,8302,460,1.41
Aliphine DAmato #0327,W,tokyo,2023,7842,london,2023,7964,122,1.61
Aliphine DAmato #0327,W,tokyo,2023,7842,berlin,2023,8011,169,6.67
Aliphine DAmato #0327,W,tokyo,2023,7842,chicago,2023,8005,163,7.13
Aliphine DAmato #0327,W,tokyo,2023,7842,nyc,2023,8194,352,8.05
Aliphine DAmato #0327,W,tokyo,2023,7842,boston,2024,7972,130,13.37
Aliphine DAmato #0327,W,tokyo,2023,7842,london,2024,8153,311,13.57
Aliphine DAmato #0327,W,boston,2023,8302,london,2023,7964,-338,0.2
Aliphine DAmato #0327,W,boston,2023,8302,berlin,2023,8011,-291,5.26
Aliphine DAmato #0327,W,boston,2023,8302,chicago,2023,8005,-297,5.72
Aliphine DAmato #0327,W,boston,2023,8302,nyc,2023,8194,-108,6.64
Aliphine DAmato #0327,W,boston,2023,8302,tokyo,2024,8004,-298,10.55
Aliphine DAmato #0327,W,boston,2023,8302,london,2024,8153,-149,12.16
Aliphine DAmato #0327,W,boston,2023,8302,chicago,2024,7973,-329,17.9
Aliphine DAmato #0327,W,london,2023,7964,berlin,2023,8011,47,5.06
Aliphine DAmato #0327,W,london,2023,7964,chicago,2023,8005,41,5.52
Aliphine DAmato #0327,W,london,2023,7964,nyc,2023,8194,230,6.44
Aliphine DAmato #0327,W,london,2023,7964,tokyo,2024,8004,40,10.35
Aliphine DAmato #0327,W,london,2023,7964,boston,2024,7972,8,11.76
Aliphine DAmato #0327,W,london,2023,7964,chicago,2024,7973,9,17.71
Aliphine DAmato #0327,W,berlin,2023,8011,chicago,2023,8005,-6,0.46
Aliphine DAmato #0327,W,berlin,2023,8011,nyc,2023,8194,183,1.38
Aliphine DAmato #0327,W,berlin,2023,8011,tokyo,2024,8004,-7,5.29
Aliphine DAmato #0327,W,berlin,2023,8011,boston,2024,7972,-39,6.7
Aliphine DAmato #0327,W,berlin,2023,8011,london,2024,8153,142,6.9
Aliphine DAmato #0327,W,berlin,2023,8011,chicago,2024,7973,-38,12.65
Aliphine DAmato #0327,W,berlin,2023,8011,nyc,2024,8205,194,13.34
Aliphine DAmato #0327,W,chicago,2023,8005,nyc,2023,8194,189,0.92
Aliphine DAmato #0327,W,chicago,2023,8005,tokyo,2024,8004,-1,4.83
Aliphine DAmato #0327,W,chicago,2023,8005,boston,2024,7972,-33,6.24
Aliphine DAmato #0327,W,chicago,2023,8005,london,2024,8153,148,6.44
Aliphine DAmato #0327,W,chicago,2023,8005,nyc,2024,8205,200,12.88
Aliphine DAmato #0327,W,nyc,2023,8194,tokyo,2024,8004,-190,3.91
Aliphine DAmato #0327,W,nyc,2023,8194,boston,2024,7972,-222,5.32
Aliphine DAmato #0327,W,nyc,2023,8194,london,2024,8153,-41,5.52
Aliphine DAmato #0327,W,nyc,2023,8194,chicago,2024,7973,-221,11.27
Aliphine DAmato #0327,W,tokyo,2024,8004,boston,2024,7972,-32,1.41
Aliphine DAmato #0327,W,tokyo,2024,8004,london,2024,8153,149,1.61
Aliphine DAmato #0327,W,tokyo,2024,8004,chicago,2024,7973,-31,7.36
Aliphine DAmato #0327,W,tokyo,2024,8004,nyc,2024,8205,201,8.05
Aliphine DAmato #0327,W,boston,2024,7972,london,2024,8153,181,0.2
Aliphine DAmato #0327,W,boston,2024,7972,chicago,2024,7973,1,5.95
