athlete_name,country,gender,course,year,date,place,finish_time_seconds
Kibrom Kipchoge #0345,ESP,M,berlin,2016,2016-09-25,31,7568
Tamirat Tola #0385,BLR,M,berlin,2016,2016-09-25,32,7568
Galen Hassan #0106,NED,M,berlin,2016,2016-09-25,33,7568
Lelisa Kiptum #0144,ETH,M,berlin,2016,2016-09-25,34,7570
Lelisa Abdi #0326,BRA,M,berlin,2016,2016-09-25,35,7573
Lelisa Robinson #0097,ITA,M,berlin,2016,2016-09-25,36,7574
Kelvin Rotich #0151,TZA,M,berlin,2016,2016-09-25,37,7574
Lelisa Lemma #0060,CAN,M,berlin,2016,2016-09-25,38,7577
Brett Fauble #0153,KEN,M,berlin,2016,2016-09-25,39,7577
Tamirat Sambu #0348,GER,M,berlin,2016,2016-09-25,40,7582
Galen Bekele #0173,BLR,M,berlin,2016,2016-09-25,41,7582
Birhanu Bekele #0094,BHR,M,berlin,2016,2016-09-25,42,7584
Lelisa Cherop #0207,ETH,M,berlin,2016,2016-09-25,43,7584
Lemi Hassan #0301,ETH,M,berlin,2016,2016-09-25,44,7586
Mosinet Lemma #0329,ESP,M,berlin,2016,2016-09-25,45,7594
Kibrom Korir #0102,FRA,M,berlin,2016,2016-09-25,46,7601
Cam Kipchoge #0234,UGA,M,berlin,2016,2016-09-25,47,7602
Lelisa Desisa #0243,BLR,M,berlin,2016,2016-09-25,48,7602
Suguru Hailu #0194,MAR,M,berlin,2016,2016-09-25,49,7603
Lawrence Levins #0379,BLR,M,berlin,2016,2016-09-25,50,7607
Tamirat Robinson #0084,ITA,M,berlin,2016,2016-09-25,51,7610
Mosinet Cherono #0358,KEN,M,berlin,2016,2016-09-25,52,7611
Yuki Levins #0363,NED,M,berlin,2016,2016-09-25,53,7611
Lemi Levins #0001,UGA,M,berlin,2016,2016-09-25,54,7614
Kelvin Levins #0005,MAR,M,berlin,2016,2016-09-25,55,7617
Yuki Hassan #0277,GBR,M,berlin,2016,2016-09-25,56,7618
Geoffrey Bekele #0366,ITA,M,berlin,2016,2016-09-25,57,7620
Kibrom Cherop #0172,ETH,M,berlin,2016,2016-09-25,58,7620
Galen Fauble #0390,ESP,M,berlin,2016,2016-09-25,59,7624
Wilson Abdi #0211,GBR,M,berlin,2016,2016-09-25,60,7625
Lawrence Kipchoge #0218,ERI,M,berlin,2016,2016-09-25,61,7626
Kenneth Sambu #0293,GER,M,berlin,2016,2016-09-25,62,7626
Carlos Moen #0317,TZA,M,berlin,2016,2016-09-25,63,7626
Tamirat Bekele #0174,USA,M,berlin,2016,2016-09-25,64,7628
Brett Hassan #0159,USA,M,berlin,2016,2016-09-25,65,7629
Sondre Cherono #0254,BRA,M,berlin,2016,2016-09-25,66,7630
Mo Desisa #0033,MAR,M,berlin,2016,2016-09-25,67,7630
Brett Adero #0376,ERI,M,berlin,2016,2016-09-25,68,7630
Eliud Geremew #0239,FRA,M,berlin,2016,2016-09-25,69,7631
Sisay Tola #0335,AUS,M,berlin,2016,2016-09-25,70,7632
Stephen Mutai #0127,ERI,M,berlin,2016,2016-09-25,71,7637
Ayele Kipsang #0131,BHR,M,berlin,2016,2016-09-25,72,7642
Mohamed Korir #0399,UGA,M,berlin,2016,2016-09-25,73,7647
Kibrom Cherop #0319,FRA,M,berlin,2016,2016-09-25,74,7649
Ayele Fauble #0208,JPN,M,berlin,2016,2016-09-25,75,7649
Hiroto Geremew #0249,TZA,M,berlin,2016,2016-09-25,76,7650
Kelvin Lemma #0231,ERI,M,berlin,2016,2016-09-25,77,7651
Kenneth Legese #0066,GER,M,berlin,2016,2016-09-25,78,7651
Wilson Moen #0235,MAR,M,berlin,2016,2016-09-25,79,7652
Ayele Rotich #0112,MAR,M,berlin,2016,2016-09-25,80,7652
Carlos Cherop #0298,NED,M,berlin,2016,2016-09-25,81,7653
Cam Kandie #0056,AUS,M,berlin,2016,2016-09-25,82,7662
Carlos Abdi #0130,NED,M,berlin,2016,2016-09-25,83,7665
Hiroto Kiptum #0383,ESP,M,berlin,2016,2016-09-25,84,7666
Mosinet Kiptum #0206,ETH,M,berlin,2016,2016-09-25,85,7668
Mohamed Rupp #0253,KEN,M,berlin,2016,2016-09-25,86,7669
Sondre Korir #0297,ESP,M,berlin,2016,2016-09-25,87,7670
Yuki Legese #0053,NED,M,berlin,2016,2016-09-25,88,7671
Kelvin Tola #0346,MAR,M,berlin,2016,2016-09-25,89,7675
Mosinet Moen #0161,AUS,M,berlin,2016,2016-09-25,90,7676
Conner Adero #0020,GER,M,berlin,2016,2016-09-25,91,7677
Lelisa Desisa #0158,NED,M,berlin,2016,2016-09-25,92,7678
Eliud Lemma #0220,NED,M,berlin,2016,2016-09-25,93,7684
Kelvin Hailu #0382,BRA,M,berlin,2016,2016-09-25,94,7688
Geoffrey Tola #0141,AUS,M,berlin,2016,2016-09-25,95,7691
Mohamed Cherop #0109,NOR,M,berlin,2016,2016-09-25,96,7692
Lelisa Kiptum #0008,BRA,M,berlin,2016,2016-09-25,97,7692
Birhanu Rupp #0025,ETH,M,berlin,2016,2016-09-25,98,7695
Conner Bett #0054,CAN,M,berlin,2016,2016-09-25,99,7696
Bashir Sambu #0294,MAR,M,berlin,2016,2016-09-25,100,7699
Tigist Seidel #0264,IRL,W,berlin,2016,2016-09-25,1,7935
Sutume Hall #0318,CHN,W,berlin,2016,2016-09-25,2,7958
Yalemzerf Diver #0030,CZE,W,berlin,2016,2016-09-25,3,8010
Emily Hassan #0387,JPN,W,berlin,2016,2016-09-25,4,8011
Lonah Hall #0369,CZE,W,berlin,2016,2016-09-25,5,8018
Lonah Cheruiyot #0299,PRK,W,berlin,2016,2016-09-25,6,8022
Joyciline Hassan #0147,BHR,W,berlin,2016,2016-09-25,7,8026
Peres Sisson #0398,ESP,W,berlin,2016,2016-09-25,8,8035
Catherine Dereje #0231,POL,W,berlin,2016,2016-09-25,9,8048
Lonnie Ndereba #0340,USA,W,berlin,2016,2016-09-25,10,8064
Vivian Hassan #0136,BHR,W,berlin,2016,2016-09-25,11,8066
Peres Hassan #0027,ISR,W,berlin,2016,2016-09-25,12,8072
Tigist Yehualaw #0232,KEN,W,berlin,2016,2016-09-25,13,8073
Brigid Obiri #0213,PRK,W,berlin,2016,2016-09-25,14,8076
Emily Gemechu #0197,CHN,W,berlin,2016,2016-09-25,15,8077
Mary Gidey #0390,BHR,W,berlin,2016,2016-09-25,16,8084
Tirunesh Jepchirchir #0314,JPN,W,berlin,2016,2016-09-25,17,8084
Brigid Tuliamuk #0325,BHR,W,berlin,2016,2016-09-25,18,8088
Emily Salpeter #0159,ESP,W,berlin,2016,2016-09-25,19,8089
Lonnie Gidey #0360,ISR,W,berlin,2016,2016-09-25,20,8089
Molly Kiplagat #0233,ROU,W,berlin,2016,2016-09-25,21,8089
Vivian Kosgei #0123,ITA,W,berlin,2016,2016-09-25,22,8094
Lilian Yehualaw #0049,RUS,W,berlin,2016,2016-09-25,23,8097
Lonah Obiri #0202,CHN,W,berlin,2016,2016-09-25,24,8102
Joyciline Jepchirchir #0298,CZE,W,berlin,2016,2016-09-25,25,8103
Aliphine Ayana #0062,ETH,W,berlin,2016,2016-09-25,26,8103
Keira Salpeter #0322,GER,W,berlin,2016,2016-09-25,27,8104
Lonnie Gemechu #0235,IRL,W,berlin,2016,2016-09-25,28,8107
Keira Reichmann #0379,NED,W,berlin,2016,2016-09-25,29,8107
Sifan Gidey #0347,CHN,W,berlin,2016,2016-09-25,30,8109
Lonah Diver #0214,JPN,W,berlin,2016,2016-09-25,31,8110
Vivian Jepchirchir #0175,AUS,W,berlin,2016,2016-09-25,32,8118
Tigist Dibaba #0188,USA,W,berlin,2016,2016-09-25,33,8119
Tigist Hall #0003,ESP,W,berlin,2016,2016-09-25,34,8119
Vivian Yehualaw #0241,CHN,W,berlin,2016,2016-09-25,35,8133
Tirunesh Tuliamuk #0377,BHR,W,berlin,2016,2016-09-25,36,8145
Keira Asefa #0224,CHN,W,berlin,2016,2016-09-25,37,8147
Lilian Dereje #0203,KEN,W,berlin,2016,2016-09-25,38,8148
Hellen Dibaba #0221,POL,W,berlin,2016,2016-09-25,39,8148
Hellen Kosgei #0383,CHN,W,berlin,2016,2016-09-25,40,8155
Eunice Obiri #0081,GER,W,berlin,2016,2016-09-25,41,8156
Sara Reichmann #0177,GER,W,berlin,2016,2016-09-25,42,8157
Joyciline Asefa #0199,IRL,W,berlin,2016,2016-09-25,43,8158
Ruth Ayana #0335,GER,W,berlin,2016,2016-09-25,44,8159
Eunice Chepkirui #0043,ROU,W,berlin,2016,2016-09-25,45,8163
Almaz Gidey #0222,GBR,W,berlin,2016,2016-09-25,46,8164
Aliphine Hassan #0313,KEN,W,berlin,2016,2016-09-25,47,8167
Worknesh Assefa #0244,ROU,W,berlin,2016,2016-09-25,48,8172
Roza Hassan #0083,NED,W,berlin,2016,2016-09-25,49,8175
Lilian Frey #0139,RUS,W,berlin,2016,2016-09-25,50,8175
Sara Asefa #0348,ITA,W,berlin,2016,2016-09-25,51,8175
Tigist Gidey #0158,ESP,W,berlin,2016,2016-09-25,52,8180
Eunice Ayana #0217,ITA,W,berlin,2016,2016-09-25,53,8181
Molly Degefa #0190,ETH,W,berlin,2016,2016-09-25,54,8181
Tirunesh Kiplagat #0124,ISR,W,berlin,2016,2016-09-25,55,8182
Keira Cheruiyot #0181,AUS,W,berlin,2016,2016-09-25,56,8186
Tigist Tuliamuk #0304,BHR,W,berlin,2016,2016-09-25,57,8190
Hiwot Frey #0266,RUS,W,berlin,2016,2016-09-25,58,8191
Sara Asefa #0326,NED,W,berlin,2016,2016-09-25,59,8191
Sifan Cheruiyot #0315,ISR,W,berlin,2016,2016-09-25,60,8194
Eunice Dereje #0381,ESP,W,berlin,2016,2016-09-25,61,8197
Keira Degefa #0104,JPN,W,berlin,2016,2016-09-25,62,8198
Peres Sisson #0303,AUS,W,berlin,2016,2016-09-25,63,8202
Keira Sisson #0247,CZE,W,berlin,2016,2016-09-25,64,8202
Lilian Yehualaw #0103,PRK,W,berlin,2016,2016-09-25,65,8202
Sifan Chepngetich #0344,ROU,W,berlin,2016,2016-09-25,66,8203
Emily Kiplagat #0142,USA,W,berlin,2016,2016-09-25,67,8204
Molly Kiplagat #0192,RUS,W,berlin,2016,2016-09-25,68,8206
Lonnie Reichmann #0310,PRK,W,berlin,2016,2016-09-25,69,8209
Sifan Diver #0031,CZE,W,berlin,2016,2016-09-25,70,8211
Worknesh Diver #0061,GBR,W,berlin,2016,2016-09-25,71,8213
Tigist Salpeter #0323,CHN,W,berlin,2016,2016-09-25,72,8214
Ruth Degefa #0170,BHR,W,berlin,2016,2016-09-25,73,8215
Lonnie Ndereba #0018,ROU,W,berlin,2016,2016-09-25,74,8217
